Return to Table of Contents.,,"* Please click on the ""plus"" sign to the left of the years to expand to see monthly data or the ""minus"" sign to hide it.",,,,,,,,,,,,,,
Nationwide CBP Encounters by Encounter Type and Region: Fiscal Years 2014 to 2025 YTD (November 2024),,,,,,,,,,,,,,,,
,,Total CBP,,,,,Enforcement Encounters1,,,,,Administrative Encounters2,,,,
Fiscal Year,Month,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior
,June,247520,207830,10880,12010,16800,215620,206620,4700,480,3820,31900,1210,6180,11530,12980
,July,238930,200160,13060,9640,16070,208320,198910,5580,510,3320,30610,1260,7480,9130,12750
,August,251520,204090,15260,11610,20570,213800,202830,6320,1290,3360,37720,1260,8940,10320,17210
,September,272340,227550,13330,11270,20200,235480,226120,5360,630,3370,36860,1430,7970,10640,16830
2023,Total,3201140,2475670,189400,144320,391750,2641700,2457270,135890,8820,39730,559430,18400,53510,135500,352020
,October,278320,231530,15880,12360,18550,242710,230390,7640,1360,3330,35600,1140,8240,11000,15220
,November,284620,235170,13330,14620,21500,244620,234000,6070,1310,3230,40010,1170,7260,13310,18270
,December,302390,252320,13390,14340,22350,261880,251090,5880,1590,3320,40520,1220,7510,12750,19030
,January,209150,157360,13130,13500,25170,168050,156010,6970,1750,3310,41110,1350,6160,11750,21860
,February,213910,156630,13050,11170,33060,167860,155430,8980,460,3000,46050,1200,4080,10710,30060
,March,259470,193250,15790,12200,38240,206760,192080,10690,520,3470,52720,1170,5100,11680,34770
,April,276040,211990,14130,11900,38010,226430,210830,11990,320,3290,49600,1160,2130,11580,34720
,May,275170,206690,16830,11270,40370,223210,204850,14370,300,3700,51950,1850,2460,10970,36680
,June,211460,144560,16620,10160,40130,160550,142770,14370,270,3140,50910,1790,2250,9890,36990
,July,245150,183480,18570,11000,32110,200790,181450,15870,330,3140,44360,2030,2700,10670,28970
,August,304070,232960,19830,10640,40630,251800,230800,17060,330,3610,52270,2160,2780,10310,37030
,September,341390,269740,18850,11170,41630,287050,267570,16000,290,3200,54340,2170,2860,10880,38430
2024,Total,2901140,2135000,198930,127680,439530,2353190,2121120,188190,3820,40060,547950,13880,10740,123860,399470
,October,309020,240930,15400,12010,40700,258200,239910,14950,230,3120,50820,1020,450,11780,37570
,November,308600,242400,14060,12830,39320,258410,241350,13660,190,3210,50200,1050,400,12640,36110
,December,370880,301980,15360,12860,40680,318280,301010,13780,330,3170,52600,970,1590,12540,37500
,January,242530,176200,15920,11830,38590,192950,175010,14260,370,3320,49580,1190,1660,11460,35270
,February,256070,189910,14650,9920,41580,206460,188810,14230,240,3180,49610,1100,430,9690,38400
,March,246500,189360,16370,10860,29920,207300,188070,15530,230,3470,39200,1290,830,10630,26460
,April,247930,179740,16850,10150,41200,198000,178570,15610,300,3510,49930,1170,1240,9840,37680
,May,240920,170720,18660,9610,41930,191810,169380,18410,390,3620,49120,1340,250,9220,38310
,June,204930,130420,17700,9510,47310,150670,129320,17390,520,3440,54270,1100,310,8990,43870
,July,170180,104100,17900,9180,39010,123340,102890,16780,300,3370,46840,1210,1110,8870,35640
,August,158890,107470,18940,9730,22750,128230,106350,18070,310,3510,30670,1130,880,9420,19240
,September,144670,101790,17130,9190,16560,119550,100470,15530,420,3150,25110,1320,1600,8770,13420
2025 YTD,Total,268230,200530,27610,21070,19020,231370,198250,26390,690,6040,36860,2280,1220,20380,12990
,October,142990,106340,15360,10080,11210,123290,105130,14640,400,3110,19700,1200,720,9680,8100
,November,125240,94190,12250,10990,7810,108080,93120,11750,290,2930,17160,1080,500,10700,4880
"1Includes all USBP encounters, OFO encounters with dispositions other than those defined as administrative encounters, and encounters resulting in expulsion pursuant to the CDC’s Title 42 public health order.",,,,,,,,,,,,,,,,
"2Includes specific types of encounters of inadmissible noncitizens in which removal proceedings are not considered, including certain withdrawn applications for admission in cases prior to FY 2024 in which expedited removal or other immigration proceedings were not considered, foreign crew members without entry visas who are required to remain aboard their ships, and persons paroled into the United States and released from OFO custody without being placed into removal proceedings.",,,,,,,,,,,,,,,,
"Notes: To protect privacy, table cells are rounded to the nearest ten. The totals may not sum due to rounding. Southwest and Northern Borders include land ports of entry at those locations, and Coastal Border includes seaports of entry. Records may not match agency reporting due to differences in reporting methodologies. Data are current as of November 30, 2024; future reporting may include updates to previous reports’ data.",,,,,,,,,,,,,,,,
Source: Office of Homeland Security Statistics Persist Dataset.,,,,,,,,,,,,,,,,
